epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,102.782,1.92734,3.42486,1.77287,0.36233,0.321,0.29724,0.14638,1.93575,2.50367,1.8204,0.00996198,0.00332066,0.00996198,0.00332066,0.00996198,0.00332066,0.00996198,0.00332066
2,185.876,1.86575,2.42673,1.68363,0.3984,0.36601,0.35493,0.17186,1.94824,2.412,1.87676,0.0197644,0.00658812,0.0197644,0.00658812,0.0197644,0.00658812,0.0197644,0.00658812
3,253.299,1.92323,2.34609,1.73491,0.66234,0.09926,0.1164,0.04682,2.34678,5.14555,2.39696,0.0293687,0.00978958,0.0293687,0.00978958,0.0293687,0.00978958,0.0293687,0.00978958
4,319.127,1.94914,2.34492,1.7798,0.43553,0.3028,0.31119,0.14148,2.01505,2.70992,1.90712,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,384.841,1.89345,2.21624,1.73738,0.48511,0.33631,0.3441,0.16298,1.98756,2.29981,1.91295,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,449.911,1.86211,2.1478,1.71183,0.4231,0.39464,0.37234,0.1723,1.91324,2.18554,1.83826,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,516.026,1.82342,2.07329,1.67753,0.45343,0.45017,0.43844,0.21411,1.82423,2.01258,1.7164,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,581.103,1.79602,2.01768,1.6556,0.45555,0.44597,0.42596,0.21455,1.82146,1.95806,1.72245,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,646.261,1.78078,1.96825,1.64228,0.52245,0.47229,0.47034,0.21969,1.81907,2.00442,1.70224,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,711.196,1.76214,1.93251,1.61915,0.62679,0.4341,0.48394,0.24251,1.78648,1.86635,1.66709,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,776.484,1.74445,1.90974,1.60773,0.5195,0.48797,0.49253,0.24301,1.77778,1.78225,1.65316,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,841.501,1.72981,1.86575,1.5927,0.51225,0.50309,0.50372,0.25366,1.7523,1.78789,1.6403,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,907.324,1.71422,1.85603,1.58254,0.51267,0.47308,0.4737,0.24096,1.78723,1.84486,1.69562,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,972.561,1.70814,1.82929,1.57316,0.53521,0.50262,0.51607,0.26355,1.74308,1.72399,1.64601,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1037.77,1.69233,1.79747,1.56888,0.53747,0.51881,0.5243,0.27373,1.74036,1.65451,1.62343,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1101.58,1.67905,1.77853,1.55291,0.53416,0.52153,0.52638,0.27565,1.70949,1.66169,1.59404,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1165.95,1.68015,1.77079,1.55929,0.52061,0.53663,0.53527,0.2773,1.72693,1.65935,1.58365,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1230.61,1.66397,1.73969,1.54751,0.55997,0.53544,0.54309,0.28515,1.70227,1.6234,1.59769,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1296.42,1.66521,1.70605,1.54398,0.55448,0.53825,0.54269,0.28109,1.69973,1.63305,1.58942,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1361.71,1.64709,1.7072,1.53195,0.55814,0.55673,0.56284,0.29977,1.68868,1.58379,1.59549,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1426.39,1.64468,1.68519,1.52273,0.56624,0.54101,0.55564,0.29025,1.69669,1.60599,1.58778,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1491.11,1.63144,1.65776,1.51946,0.58258,0.56087,0.57249,0.29967,1.68797,1.53757,1.57164,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1556.58,1.63194,1.6586,1.51764,0.58466,0.54697,0.57275,0.3,1.682,1.57357,1.58998,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1622.2,1.63042,1.65807,1.50546,0.56256,0.56081,0.57574,0.30973,1.65061,1.51681,1.5555,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1685.3,1.61897,1.62841,1.50248,0.58195,0.56026,0.57903,0.30539,1.67774,1.53995,1.56196,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1749.26,1.6183,1.63024,1.50583,0.58543,0.56055,0.58704,0.30938,1.68539,1.50104,1.56261,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1814.21,1.6041,1.61269,1.48758,0.59059,0.5706,0.58563,0.31121,1.67801,1.52388,1.56523,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1876.89,1.60103,1.59565,1.48955,0.60116,0.56605,0.58822,0.31337,1.66635,1.51194,1.55336,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1941.6,1.58688,1.57836,1.48255,0.58753,0.5686,0.58987,0.31119,1.68224,1.51665,1.56104,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2006.92,1.58277,1.56966,1.47941,0.61603,0.56887,0.60582,0.32573,1.6456,1.46844,1.53782,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2072.34,1.57715,1.55297,1.47765,0.60596,0.56996,0.60342,0.31668,1.66923,1.47057,1.55333,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2136.98,1.57634,1.55476,1.47366,0.60176,0.57899,0.60881,0.32241,1.66479,1.47623,1.54819,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2201.87,1.56847,1.5317,1.46551,0.59937,0.57072,0.60068,0.32092,1.66041,1.47835,1.54571,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2266.31,1.56592,1.52051,1.46074,0.61453,0.58549,0.60416,0.32355,1.66006,1.45767,1.54428,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2331.27,1.55908,1.5106,1.46155,0.61706,0.58296,0.61727,0.32873,1.65099,1.44075,1.54326,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2396.21,1.56154,1.50614,1.45935,0.61851,0.57937,0.61208,0.33024,1.6523,1.45155,1.54129,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2461.22,1.55651,1.48815,1.45298,0.61047,0.59121,0.61508,0.33017,1.66223,1.45304,1.54042,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2525.35,1.53463,1.47805,1.44008,0.6362,0.60524,0.62952,0.3413,1.62814,1.41855,1.52205,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2590.27,1.53766,1.47398,1.4406,0.63227,0.58895,0.62605,0.33665,1.64608,1.40884,1.52658,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2654.84,1.53762,1.469,1.4432,0.63017,0.59692,0.623,0.33491,1.65293,1.41114,1.53047,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2720.62,1.52555,1.44996,1.43258,0.61304,0.59594,0.62106,0.3328,1.6632,1.41028,1.53662,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2785.12,1.52785,1.4404,1.43251,0.61248,0.59021,0.61819,0.33224,1.65728,1.41577,1.54764,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2850.01,1.52543,1.44349,1.43359,0.64283,0.57822,0.61786,0.3364,1.65061,1.41681,1.5277,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2916.18,1.51334,1.42346,1.4254,0.63414,0.58792,0.6264,0.33842,1.64976,1.40872,1.53002,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2981.88,1.50965,1.41181,1.42357,0.63066,0.58812,0.62202,0.3386,1.66433,1.40261,1.53538,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3045.66,1.50211,1.39899,1.41278,0.63341,0.58568,0.62818,0.34082,1.64644,1.40096,1.52265,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3110.68,1.50178,1.38685,1.41206,0.61258,0.60504,0.631,0.34119,1.64854,1.3876,1.52037,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3175.52,1.49471,1.37497,1.40366,0.6263,0.605,0.63291,0.33972,1.64076,1.38384,1.51819,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3240.28,1.49118,1.37894,1.40219,0.63172,0.5997,0.62874,0.33731,1.65348,1.38645,1.52441,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3305.23,1.48821,1.36505,1.39806,0.63808,0.59623,0.63218,0.34316,1.65278,1.37515,1.53159,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3370.38,1.49158,1.36357,1.40672,0.62931,0.61239,0.63536,0.3411,1.65398,1.36979,1.52493,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3434.49,1.48563,1.35281,1.39453,0.63131,0.60767,0.63971,0.34403,1.6626,1.38709,1.53011,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3498.56,1.46356,1.33451,1.38215,0.65023,0.59212,0.63432,0.34424,1.6552,1.37987,1.51755,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3562.87,1.46306,1.32444,1.38367,0.64487,0.60036,0.63466,0.3405,1.66536,1.37258,1.52833,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3627.2,1.46117,1.31738,1.38044,0.64229,0.6058,0.63542,0.34364,1.66992,1.37515,1.54205,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3691.6,1.46799,1.32342,1.38478,0.64063,0.61225,0.63887,0.34686,1.65491,1.36723,1.52345,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3758,1.44905,1.30567,1.37806,0.6472,0.60223,0.63477,0.34203,1.66792,1.36872,1.53893,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3823.93,1.45409,1.29171,1.375,0.65787,0.59891,0.63936,0.3468,1.66695,1.35704,1.53586,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3889.43,1.44171,1.28277,1.36959,0.64364,0.60306,0.63705,0.3458,1.66672,1.35788,1.53615,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3954.39,1.43419,1.26888,1.3619,0.66132,0.59424,0.63685,0.34606,1.67396,1.35597,1.5404,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4018.93,1.42263,1.26512,1.35654,0.6484,0.60893,0.63704,0.34464,1.6813,1.35945,1.54732,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4083.71,1.42819,1.2584,1.36116,0.63167,0.62103,0.6406,0.34877,1.67168,1.35356,1.54197,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4148.97,1.42385,1.25051,1.35483,0.65291,0.59864,0.63987,0.34542,1.68169,1.35752,1.54984,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4214.25,1.4175,1.24554,1.35315,0.63763,0.60218,0.64043,0.34576,1.68418,1.36289,1.55416,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4279.32,1.41471,1.24006,1.34939,0.63967,0.61401,0.64249,0.34938,1.68168,1.35167,1.55247,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4344,1.41824,1.23158,1.34803,0.63969,0.61207,0.63974,0.34553,1.68575,1.35857,1.55856,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4409.76,1.40688,1.22046,1.34195,0.63264,0.62431,0.64065,0.34711,1.68293,1.36311,1.55018,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4474.21,1.39637,1.21289,1.33696,0.64357,0.61951,0.64279,0.34636,1.68838,1.35586,1.56037,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4538.39,1.39747,1.21026,1.33716,0.64886,0.59836,0.64064,0.34598,1.69015,1.3593,1.5589,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4601.98,1.38644,1.19249,1.33825,0.65034,0.60788,0.63958,0.34645,1.68662,1.35461,1.55827,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4667.85,1.38448,1.18829,1.32663,0.66519,0.58355,0.63729,0.34588,1.69408,1.35994,1.56315,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4731.95,1.3748,1.17876,1.32548,0.64534,0.61318,0.64254,0.34748,1.69738,1.36022,1.56537,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4795.68,1.37087,1.17161,1.32215,0.6519,0.60266,0.64657,0.34825,1.69345,1.3512,1.56252,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4861.95,1.3773,1.17401,1.3245,0.6584,0.5934,0.64348,0.34678,1.69853,1.35375,1.56593,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4927.41,1.36545,1.14559,1.31685,0.64031,0.61395,0.64046,0.34503,1.70346,1.35062,1.57099,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4991.81,1.36138,1.14293,1.31375,0.64942,0.60407,0.63941,0.3434,1.70979,1.35169,1.57955,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5055.7,1.34409,1.12876,1.30451,0.64392,0.61134,0.6395,0.34367,1.70909,1.35517,1.57795,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5119.88,1.34749,1.12519,1.30249,0.64186,0.6118,0.63828,0.34383,1.71011,1.35809,1.57798,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5183.58,1.34853,1.1188,1.30392,0.65272,0.60427,0.63998,0.34551,1.71294,1.35531,1.58173,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5248.33,1.34173,1.119,1.30348,0.64841,0.60329,0.63777,0.34347,1.71602,1.3573,1.5821,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5313.67,1.33938,1.117,1.29768,0.64433,0.60952,0.63699,0.34399,1.71647,1.36029,1.58259,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5379.1,1.33065,1.10336,1.29486,0.64985,0.60194,0.63698,0.34605,1.71568,1.35772,1.58052,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5444.99,1.3192,1.09691,1.29014,0.65369,0.59901,0.63531,0.34481,1.72109,1.35897,1.5866,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5510.62,1.32731,1.09701,1.29084,0.64792,0.60628,0.63664,0.34318,1.72223,1.358,1.58793,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5576.36,1.30982,1.06867,1.28137,0.64568,0.60751,0.63633,0.34139,1.72647,1.36165,1.5907,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5641.56,1.31398,1.07055,1.28297,0.6522,0.60605,0.6367,0.34104,1.7266,1.36558,1.59153,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5705.79,1.3088,1.06835,1.28277,0.65093,0.60175,0.63415,0.34064,1.73181,1.36768,1.59531,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5769,1.30058,1.06117,1.27825,0.65858,0.59704,0.63476,0.33963,1.73427,1.36999,1.5978,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,5833.83,1.29921,1.06452,1.27184,0.65999,0.59503,0.63288,0.34056,1.73753,1.37245,1.60177,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,5898.32,1.27808,1.04359,1.26601,0.6721,0.58824,0.6327,0.34123,1.7407,1.37452,1.60678,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,5965.08,1.27994,0.94952,1.29199,0.67587,0.59143,0.63338,0.34178,1.73976,1.37232,1.60858,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6028.98,1.253,0.91154,1.27526,0.67688,0.58927,0.63315,0.34064,1.74075,1.37276,1.6112,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6093.87,1.24345,0.90437,1.27721,0.67531,0.5896,0.63257,0.34061,1.74373,1.37602,1.61467,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,6158.95,1.22913,0.88593,1.26549,0.6716,0.59142,0.63195,0.33922,1.74756,1.3808,1.62008,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,6223.87,1.22117,0.87541,1.26386,0.67009,0.59352,0.63308,0.3392,1.7487,1.38216,1.62353,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,6288.37,1.21555,0.86648,1.25527,0.66305,0.594,0.63275,0.33895,1.75001,1.38644,1.62699,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,6353.34,1.20467,0.85726,1.25221,0.65154,0.60528,0.63216,0.33837,1.75373,1.39034,1.63216,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,6418.41,1.1968,0.84766,1.25018,0.65087,0.60776,0.63242,0.33788,1.75498,1.39408,1.63397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,6482.64,1.19882,0.84717,1.2472,0.65267,0.60562,0.63066,0.33735,1.756,1.39801,1.63625,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,6547.54,1.19727,0.84498,1.24978,0.65181,0.60563,0.62979,0.33728,1.75714,1.40143,1.63827,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
