epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3051.97,1.66599,1.71517,0.01418,0.60972,0.56234,0.59214,0.3171,1.73315,1.54991,0.01864,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3143.6,1.65714,1.70218,0.01388,0.60629,0.56584,0.58521,0.31705,1.70833,1.54564,0.01807,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3235.54,1.66235,1.67662,0.01404,0.62193,0.54628,0.59064,0.31889,1.70597,1.57726,0.01825,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3326.33,1.64929,1.66418,0.0138,0.6113,0.56301,0.58414,0.31439,1.72029,1.57612,0.01816,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3417.36,1.64616,1.65821,0.01381,0.60026,0.57005,0.59494,0.32114,1.7153,1.53903,0.01813,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3506.34,1.64916,1.63104,0.01377,0.59369,0.56091,0.583,0.31321,1.71228,1.57294,0.01805,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3594.96,1.63265,1.63161,0.01359,0.61335,0.57346,0.60424,0.32248,1.70326,1.53159,0.01798,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3683.52,1.62917,1.6282,0.01365,0.58347,0.57807,0.59153,0.32057,1.70621,1.52097,0.01811,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3772.4,1.63705,1.60788,0.01368,0.62384,0.5704,0.60813,0.33196,1.70311,1.48782,0.01795,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3861.45,1.61885,1.58125,0.01348,0.6104,0.57838,0.604,0.32736,1.69446,1.532,0.01779,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3950.94,1.62437,1.56739,0.01342,0.61235,0.57887,0.60534,0.3281,1.70668,1.52061,0.01807,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4040.96,1.62572,1.57827,0.01349,0.64681,0.57341,0.6057,0.32743,1.70859,1.52763,0.01804,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4129.05,1.60892,1.55177,0.01333,0.63217,0.57529,0.61347,0.33215,1.70689,1.52015,0.01797,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4218.28,1.6048,1.53499,0.01346,0.62431,0.59034,0.61545,0.33339,1.72219,1.49472,0.01813,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
